Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čsl. lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
589667,Krumsín,465,284,284,"7,74","0,00","0,00","10,56","0,35","2,81","11,97","0,35","0,00","0,00","0,35","0,00","7,74","0,00","1,40","22,53","0,00","0,00",0,"0,00","0,70","0,00","0,00","14,78","0,35"
589675,Laškov,487,335,334,"4,49","0,29","0,00","5,38","0,29","2,69","8,98","0,89","0,00","1,49","0,00","0,00","6,88","0,00","2,99","30,83","0,00","0,00",0,"0,00","0,89","0,89","0,29","11,07","0,29"
589683,Lešany,320,196,194,"11,34","0,51","0,00","5,15","0,00","1,03","8,76","3,60","1,03","2,57","0,00","0,00","5,67","1,03","0,00","35,56","0,00","0,00",0,"0,00","0,51","0,51","1,54","12,37","0,51"
589691,Lipová,615,450,449,"5,34","0,00","0,00","8,68","0,00","3,56","11,35","0,22","0,22","0,89","0,00","0,00","4,67","0,00","1,78","29,39","0,00","0,00",0,"0,00","0,00","0,00","0,00","11,13","0,00"
589705,Ludmírov,480,239,239,"4,60","0,00","0,00","10,46","0,00","4,60","11,71","0,00","0,83","1,25","0,00","0,00","4,18","0,00","1,25","34,30","0,00","0,00",0,"0,00","0,00","0,00","0,41","12,13","0,00"
589713,Malé Hradisko,309,185,185,"9,72","0,00","1,62","10,27","0,00","7,02","12,43","1,62","0,54","0,00","0,00","0,00","3,78","0,00","0,54","20,54","0,00","0,00",0,"0,00","1,08","0,00","0,00","15,13","1,08"
589721,Mořice,422,226,223,"3,58","0,00","0,00","8,96","0,00","9,86","17,48","0,89","0,89","0,44","0,00","0,00","4,03","0,00","0,44","29,59","0,00","0,00",0,"0,00","0,44","0,00","0,00","17,48","0,00"
589730,Mostkovice,1 248,842,836,"11,72","0,11","0,11","6,57","0,00","2,75","7,05","0,83","0,23","0,35","0,00","0,23","6,93","0,00","2,51","35,76","0,11","0,11",0,"0,00","0,35","0,00","0,47","16,86","0,95"
589748,Myslejovice,569,371,370,"8,37","0,00","0,00","8,37","0,00","2,70","14,59","0,54","0,81","0,00","0,54","0,00","12,70","0,00","0,54","25,67","0,00","0,00",0,"0,00","0,00","0,27","0,81","19,18","0,00"
589756,Němčice nad Hanou,1 612,942,939,"8,41","0,10","0,42","10,22","0,00","2,44","11,71","0,63","0,63","0,42","0,31","0,10","4,68","0,31","2,55","28,11","0,00","0,21",0,"0,10","0,63","0,21","0,53","18,74","0,00"
589764,Nezamyslice,1 140,619,615,"8,29","0,32","0,00","9,10","0,00","4,39","9,43","0,65","0,97","0,32","0,16","0,16","5,69","0,16","2,60","33,33","0,00","0,00",0,"0,16","0,00","0,00","0,48","14,47","0,00"
589772,Niva,257,160,160,"3,75","0,00","0,00","16,25","0,00","4,37","20,00","0,62","0,62","1,25","0,00","0,00","6,25","0,00","0,00","25,62","0,00","0,00",0,"0,00","0,00","0,00","0,62","13,12","0,00"
589799,Obědkovice,207,95,94,"3,19","0,00","0,00","6,38","0,00","1,06","18,08","0,00","1,06","2,12","0,00","0,00","1,06","0,00","4,25","31,91","0,00","0,00",0,"0,00","0,00","0,00","1,06","24,46","0,00"
589802,Ohrozim,370,267,266,"11,27","0,00","0,00","7,51","0,37","3,75","6,76","0,00","0,37","1,12","0,37","0,00","7,89","0,00","3,00","21,05","0,00","0,75",0,"0,00","0,00","0,00","1,12","15,03","0,37"
589811,Ochoz,152,102,99,"9,09","0,00","0,00","4,04","0,00","2,02","8,08","0,00","0,00","1,01","0,00","0,00","3,03","0,00","4,04","25,25","0,00","0,00",0,"0,00","0,00","6,06","1,01","5,05","0,00"
589829,Olšany u Prostějova,1 375,844,839,"8,58","0,00","0,00","8,93","0,00","2,02","6,67","1,78","1,07","1,07","0,59","0,00","7,62","0,11","2,26","34,92","0,00","0,35",0,"0,00","1,43","0,11","0,35","16,44","0,71"
589837,Ondratice,289,173,171,"5,26","0,00","0,58","5,84","0,00","2,33","16,37","0,00","2,92","1,16","0,00","0,58","7,01","0,00","1,16","21,05","0,00","0,00",0,"0,00","1,16","0,00","0,00","16,37","0,58"
589845,Otaslavice,1 029,650,647,"12,51","0,30","0,00","10,20","0,00","1,39","11,43","0,46","0,61","0,30","0,00","0,61","9,11","0,30","2,47","24,11","0,30","0,00",0,"0,00","0,30","0,00","0,46","16,38","0,00"
589853,Otinoves,229,144,143,"2,09","0,00","0,00","5,59","0,00","2,09","11,88","0,00","0,00","0,00","0,00","0,00","13,98","0,00","3,49","27,97","0,00","0,00",0,"0,00","0,00","1,39","1,39","12,58","0,00"
557196,Pavlovice u Kojetína,232,135,134,"2,98","0,00","0,00","8,95","0,00","8,20","15,67","0,00","0,74","0,74","0,00","0,00","4,47","0,00","0,74","32,83","0,00","0,00",0,"0,00","0,00","0,74","0,00","14,17","0,74"
589870,Pěnčín,594,352,349,"5,15","0,57","0,57","6,30","0,28","3,43","10,60","0,57","0,57","0,85","0,00","0,00","4,29","0,00","1,14","32,37","0,28","0,28",0,"0,00","0,28","0,57","0,28","19,48","0,28"
589888,Pivín,565,382,381,"4,98","0,00","0,00","3,41","0,26","6,03","6,29","0,26","0,78","1,31","0,00","0,26","5,24","0,00","2,62","30,97","0,00","0,00",0,"0,00","0,00","0,26","0,26","20,20","0,00"
589896,Plumlov,1 934,1 180,1 175,"10,21","0,00","0,17","8,51","0,00","2,04","8,68","1,36","0,25","0,93","0,17","0,34","10,04","0,17","3,40","26,55","0,08","0,00",0,"0,00","0,42","0,25","0,17","16,76","0,08"
549983,Polomí,124,78,78,"2,56","0,00","0,00","15,38","0,00","3,84","14,10","0,00","1,28","7,69","0,00","0,00","3,84","0,00","2,56","19,23","0,00","0,00",0,"0,00","2,56","1,28","0,00","10,25","0,00"
589250,Prostějov,35 975,21 073,20 934,"10,27","0,08","0,15","9,19","0,07","2,19","8,11","1,67","0,57","1,28","0,12","0,11","9,27","0,02","3,38","30,19","0,07","0,14",0,"0,04","0,52","0,13","0,33","15,57","0,32"
589918,Prostějovičky,242,138,137,"9,48","0,00","0,00","8,75","0,00","3,64","14,59","4,37","1,45","0,72","0,00","0,00","8,75","0,00","0,72","27,73","0,00","0,72",0,"0,00","0,00","0,00","0,00","8,02","0,00"
589926,Protivanov,805,549,547,"8,22","0,00","0,00","10,78","0,18","2,74","9,50","0,36","0,73","0,91","0,18","0,00","5,66","0,00","0,91","26,32","0,00","0,18",0,"0,00","1,82","0,18","0,36","12,43","0,00"
589934,Přemyslovice,1 029,621,617,"5,83","0,00","0,16","8,75","0,32","1,45","11,99","1,45","0,97","0,97","0,00","0,00","3,88","0,00","1,78","32,73","0,16","0,00",0,"0,00","0,16","0,16","0,16","16,36","0,16"
589942,Ptení,880,524,520,"5,00","0,00","0,00","9,80","0,00","3,26","9,42","1,15","0,76","0,38","0,00","0,00","7,30","0,57","1,53","25,96","0,19","0,19",0,"0,00","1,15","0,19","0,96","10,19","0,00"
589951,Raková u Konice,163,104,101,"4,95","0,00","0,00","0,00","0,00","4,95","15,84","0,99","0,00","0,00","0,00","0,00","9,90","0,00","0,99","29,70","0,00","0,00",0,"0,00","0,00","0,00","1,98","10,89","0,99"
589969,Rakůvka,80,61,61,"1,63","0,00","0,00","18,03","0,00","0,00","13,11","0,00","1,63","0,00","0,00","0,00","6,55","0,00","3,27","27,86","0,00","0,00",0,"0,00","0,00","0,00","0,00","21,31","3,27"
589977,Rozstání,503,294,290,"8,27","0,00","0,34","5,51","0,00","2,06","9,65","2,06","2,41","1,72","0,00","0,00","6,55","0,00","1,72","32,41","0,00","0,34",0,"0,00","0,00","0,00","0,00","14,82","0,00"
506770,Seloutky,410,288,287,"11,84","0,00","0,00","6,62","0,00","2,09","11,49","1,04","0,69","1,04","0,00","0,00","10,10","0,00","3,13","30,31","0,00","0,00",0,"0,00","0,00","0,00","0,00","11,14","0,00"
589993,Skalka,212,131,131,"5,34","0,00","0,00","5,34","0,00","5,34","15,26","0,76","0,76","0,76","0,00","0,00","10,68","0,00","3,05","23,66","0,00","0,00",0,"0,00","0,76","0,00","0,00","15,26","0,00"
590002,Skřípov,274,145,144,"2,77","0,00","0,00","7,63","0,00","0,69","29,86","1,38","1,38","0,69","0,00","0,00","8,33","0,00","0,69","25,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","13,19","0,00"
590011,Slatinky,453,314,313,"10,22","0,00","0,00","4,79","0,31","5,11","9,58","2,23","0,00","0,63","0,00","0,00","14,05","0,00","7,34","27,79","0,00","0,00",0,"0,00","0,00","0,00","0,00","9,26","0,00"
590029,Smržice,1 319,797,786,"11,70","0,00","0,00","7,88","0,00","2,54","5,72","0,50","0,89","0,25","0,00","0,25","8,39","0,00","4,07","33,46","0,00","0,12",0,"0,12","0,76","0,50","0,38","13,61","0,12"
590045,Srbce,73,39,39,"5,12","0,00","0,00","2,56","0,00","15,38","28,20","0,00","0,00","7,69","0,00","0,00","0,00","0,00","2,56","17,94","0,00","0,00",0,"0,00","0,00","0,00","0,00","20,51","0,00"
590053,Stařechovice,447,279,278,"8,27","0,35","0,00","9,35","0,00","6,11","10,79","0,35","0,35","2,15","0,00","0,00","3,95","0,00","3,23","29,49","0,00","1,07",0,"0,00","0,35","0,35","0,35","18,70","0,00"
590061,Stínava,126,74,73,"4,10","0,00","0,00","9,58","0,00","1,36","9,58","0,00","0,00","0,00","0,00","0,00","6,84","1,36","4,10","15,06","0,00","0,00",0,"0,00","0,00","0,00","0,00","17,80","0,00"
590070,Stražisko,345,222,220,"1,36","0,45","0,00","9,09","0,00","1,81","11,36","0,45","0,45","0,90","0,00","0,00","6,36","0,00","0,90","37,72","0,00","0,00",0,"0,00","0,00","0,00","0,00","15,45","0,00"
590088,Suchdol,499,360,356,"5,05","0,00","0,00","11,51","0,56","3,37","7,02","0,84","0,28","0,84","0,00","0,00","8,70","0,28","1,12","19,94","0,00","0,00",0,"0,28","0,28","0,84","0,28","10,67","0,00"
590096,Šubířov,204,110,109,"5,50","0,00","0,00","8,25","0,00","5,50","12,84","1,83","0,91","0,91","0,00","0,91","11,00","0,00","1,83","33,94","0,00","0,00",0,"0,00","0,00","0,00","0,00","10,09","0,00"
